Panel,Efficiency,Degradation,Power(W),solar_irradiance,temperature,humidity,wind_speed,cloud_cover,panel_age,panel_tilt_angle,latitude,longitude,output_category
Panel_C,10.5,0.26,276,234.5821483,27.40999176,34.20359409,12.90941867,47.13530108,8,40,43.16203876,-80.4029743,low
Panel_C,13.35,0.95,248,701.5415026,20.09538889,71.94651172,2.424767025,98.61296386,4,20,33.48333517,-97.2909858,medium
Panel_A,11.59,0.67,248,800.3230625,31.02715428,60.91030295,12.32796365,70.14599119,3,10,49.22073077,-93.75043423,low
Panel_B,14.53,0.48,384,264.9766161,32.34715597,60.11549733,14.55917929,66.75285087,1,30,39.8401622,-87.14879066,low
Panel_C,12.29,0.22,299,314.5775457,15.65704628,81.57856589,6.378646298,39.26389923,12,50,33.43496329,-123.0125064,low
Panel_C,15.24,0.15,269,602.2675948,15.84807217,16.22340809,2.344376156,54.82586585,24,20,32.00486753,-98.50336937,medium
Panel_A,15.36,0.88,237,525.0086302,20.72920677,69.18798825,8.042477817,75.12506503,15,50,31.42177349,-115.9415975,medium
Panel_C,15.58,0.23,374,640.4941521,21.90644826,50.43907023,0.630334973,71.42881466,20,20,36.07035207,-81.4153945,medium
Panel_C,18.46,0.7,276,735.373438,23.46623816,24.06298617,8.459744424,39.07196827,5,10,27.75577861,-83.32068558,medium
Panel_A,13.39,0.63,218,448.6599155,29.9368952,11.39221442,6.407951024,7.109423655,13,20,36.16070629,-90.16567414,medium
Panel_B,15.31,0.56,225,792.0301522,34.63410855,11.28220611,8.048249646,7.392464501,18,50,48.57150884,-110.9411302,high
Panel_B,14.56,0.16,299,876.946568,38.02190966,48.09095252,8.831924444,31.53313361,11,50,29.98889832,-72.57004088,low
Panel_C,15.19,0.11,376,471.4009398,20.48515711,14.14505045,14.79822312,91.4366862,21,20,27.29455189,-90.7291758,medium
Panel_B,13.94,0.5,280,667.7753843,27.90288287,71.42174526,3.558929755,64.97112082,4,40,25.74762622,-94.41373461,medium
Panel_C,14.83,0.98,218,929.6906192,36.4780286,20.36569717,6.540030361,14.02502835,22,10,38.02128201,-87.01743173,low
Panel_A,18.52,0.53,375,381.4449244,18.07380186,66.32231412,11.17723403,29.5664907,21,50,46.06438566,-87.29031765,low
Panel_C,12.55,0.47,229,240.4405105,26.83310753,40.82178266,7.944965492,35.0203438,12,20,25.46805725,-72.87970595,low
Panel_A,13.91,0.64,317,277.5618528,10.47942426,32.44876517,5.800504793,69.92234769,12,50,27.85612578,-105.8315346,low
Panel_B,18.96,0.19,227,822.7597251,27.94107541,36.42937886,1.479727252,74.83933388,24,10,46.07241192,-76.73448984,medium
Panel_A,10.08,0.81,278,845.9827671,15.16127354,53.08777406,6.282160112,13.34691107,20,10,35.20649907,-96.6862257,high
Panel_B,17.87,0.55,288,734.0794999,13.41806948,43.13839495,4.552320374,25.28724423,2,30,25.97934722,-104.5897837,high
Panel_C,10.17,0.37,224,959.6238533,12.00431718,81.93891584,5.25040257,23.09063886,11,50,34.20281493,-80.33096963,high
Panel_A,19.5,0.56,304,293.0301559,15.6470689,45.24854998,14.87309964,84.9388951,19,10,48.51377055,-112.2616669,low
Panel_A,15.52,0.82,283,312.6559734,29.71260066,84.84990602,0.505293611,67.52284481,1,20,26.5385778,-111.4061214,low
Panel_A,10.43,0.28,324,872.8553302,15.60879602,81.93905177,0.287512934,86.95688118,12,50,38.92726905,-101.6695962,medium
Panel_B,17.03,0.42,284,665.639287,27.23461011,22.67843115,2.801637734,95.14888828,8,30,45.11199175,-104.5003646,medium
Panel_B,16.28,0.64,393,938.6272867,10.02188541,68.58625161,6.193569099,97.37935265,6,10,32.90421002,-103.4889254,medium
Panel_C,18.68,0.5,283,411.3939944,13.5057291,72.24586968,14.4174537,54.0086283,3,20,42.27236033,-118.6779763,medium
Panel_A,15.24,0.23,327,789.832208,36.81134443,72.58002318,12.26721877,56.587827,8,20,41.76115047,-99.57957692,low
Panel_A,16.34,0.9,396,598.0508434,17.14707713,40.2811742,6.702069136,92.01417051,1,10,43.06768261,-123.8639358,medium
Panel_B,12.92,0.45,368,471.4709846,27.59007394,66.52960348,12.86832704,29.14434526,23,10,29.72491352,-98.38944253,medium
Panel_B,15.66,0.84,367,419.6751657,34.4578598,57.28281626,5.109866186,29.60135747,13,50,30.78446466,-86.76628124,low
Panel_C,19.11,0.19,366,694.7003729,12.62539985,26.01770372,13.8991779,92.09831367,13,20,39.56601399,-66.76940359,medium
Panel_A,16.19,0.41,244,477.9926665,29.06885082,62.27917331,5.739699627,91.50182243,22,10,29.9226653,-114.5817843,medium
Panel_B,17.8,0.52,241,371.9527268,35.42059386,11.90441752,8.652999754,36.38938114,16,30,44.39620257,-74.65087161,low
Panel_C,15.64,0.92,203,288.1468049,33.10534674,20.7988309,14.6044921,37.80318993,3,50,34.06499038,-75.42840139,low
Panel_B,19.5,0.35,366,603.2285497,29.66575579,42.10486839,0.082163749,63.28182563,13,20,29.37511288,-68.29546353,medium
Panel_A,10.21,0.52,253,698.9757406,29.97715602,48.49191798,5.409937381,18.49738033,7,10,46.90627411,-73.54894759,medium
Panel_B,13.09,0.11,363,850.3812728,28.62492323,57.80665433,14.12037436,39.18427643,18,20,45.01571073,-108.7211495,medium
Panel_B,15.4,0.28,214,242.9114247,32.53706577,10.69268509,11.33370994,91.84266649,5,10,25.98420027,-116.0294636,low
Panel_B,13.68,0.43,218,746.8019049,11.18739586,86.20373104,7.251458715,21.12078773,5,40,49.83857097,-84.45765502,high
Panel_B,10.44,0.83,390,320.2342106,32.25019707,43.90760289,7.831678823,93.91541628,18,20,44.86487762,-74.839208,low
Panel_A,16.38,0.13,214,598.7007313,38.11646776,81.05731255,14.89993936,55.50452205,23,20,26.64888034,-120.563751,low
Panel_B,12.69,0.13,327,528.2821382,11.07331379,86.14274013,7.911627457,27.06849808,4,20,33.77835041,-96.21893528,medium
Panel_B,16.3,0.96,250,386.5892997,31.31854596,10.04365362,3.634916194,76.58880011,16,30,43.23034535,-93.73825636,low
Panel_B,12.23,0.21,286,699.1000661,18.998518,63.70461018,0.997845103,37.9756761,22,40,25.70116784,-74.54733204,medium
Panel_A,17.14,0.52,326,555.8635976,21.56107632,56.76991589,2.940508275,97.61243742,19,20,46.35873357,-106.6362951,medium
Panel_C,18.47,0.14,291,358.7084572,21.86657132,59.43247624,10.85749281,37.38244597,13,50,47.75879904,-70.76874204,low
Panel_C,13.15,0.43,357,220.9068823,11.84854475,83.21406314,2.948004721,31.57155288,17,10,41.70392561,-123.4958288,low
Panel_C,18.53,0.9,396,657.329149,36.32586204,73.53863485,14.25239328,63.41780544,12,40,41.28047492,-106.2208472,low
Panel_C,18.51,0.59,245,351.3778403,35.3907343,37.01181217,3.840590572,14.4537996,3,50,45.45440883,-94.6547455,low
Panel_B,13.99,0.25,339,876.9056062,11.40940916,39.0472266,8.475753847,70.8531929,24,10,45.7452314,-101.418342,medium
Panel_C,18.83,0.89,276,617.5430095,29.43836252,56.39625773,4.532479509,66.37337526,13,40,34.57727131,-102.0375784,medium
Panel_C,17.05,0.88,322,598.9443323,29.10130766,51.71848531,11.82693633,28.55568719,12,30,25.82528304,-87.19652388,medium
Panel_C,15.85,0.42,392,737.2131247,32.49326246,38.13371122,3.529612182,95.41915961,7,40,27.04497289,-89.05582777,low
Panel_C,12.14,0.61,289,602.9317687,37.22258347,60.08578568,12.7269365,7.691458944,0,30,49.70104249,-114.6090461,low
Panel_C,15.2,0.85,390,917.2488855,33.50595533,42.79649044,10.76724247,89.06847798,24,30,28.55429004,-118.4364679,low
Panel_B,14,0.31,224,460.5608707,35.58123916,78.67365331,11.95076614,49.02474759,17,10,28.14421703,-91.16135324,low
Panel_B,16.71,0.88,310,537.1251503,32.63602159,89.11450316,9.94957777,32.520876,15,30,33.0416468,-72.17534951,low
Panel_C,13.54,0.44,374,730.7693304,35.45546719,88.69240954,6.374084135,84.87415224,9,50,47.83292759,-86.04037241,low
Panel_C,15.88,0.6,271,207.3443908,16.0714706,89.85191875,8.513895358,21.37166329,17,30,38.59731583,-71.18887343,low
Panel_B,15.62,0.65,386,924.1527439,34.78225292,56.35740822,5.127883373,74.87893548,14,10,34.12391611,-102.5345972,low
Panel_B,10.37,0.67,242,363.8401961,34.50658582,33.9922302,13.32006927,21.25014647,22,30,48.91329294,-81.64478764,low
Panel_A,17.69,0.98,268,701.3042552,31.19316174,59.2155762,12.53240015,50.0509213,20,20,49.73634448,-65.41244217,low
Panel_A,10.13,0.22,325,644.2886098,19.13764314,76.86575134,0.544167991,78.09548768,5,30,40.28013018,-109.6588267,medium
Panel_C,15.79,0.98,234,253.7229934,17.55891269,87.11756152,0.979057731,44.23982977,22,30,29.41364417,-86.50970825,low
Panel_C,16.79,0.13,311,243.8255236,11.13379617,47.01129688,3.940092026,63.08435868,3,40,36.09786635,-113.1463348,low
Panel_A,11.23,0.24,376,600.5706736,15.43054292,24.49030473,2.20739163,84.19687234,2,10,28.7837322,-120.1966379,medium
Panel_A,12.39,0.89,290,888.3362269,25.18124826,57.46624727,12.91867775,51.35623604,4,30,48.54195115,-114.3633193,medium
Panel_C,13.4,0.44,352,850.390013,11.53692203,31.63315473,4.69234313,78.09985093,15,10,46.48275015,-66.85027458,medium
Panel_C,13.97,0.45,337,552.3821443,20.80107443,14.69733215,5.698012126,50.41694819,12,50,31.83937025,-91.34844835,medium
Panel_A,17.12,0.15,387,297.000409,10.05069179,59.82654837,12.02472659,38.11749342,14,50,39.96058163,-86.3831739,low
Panel_B,10.93,0.45,316,356.5909778,17.04542534,55.05836302,0.799734923,8.949889157,24,30,26.45921515,-105.9677799,low
Panel_A,11.91,0.78,355,446.9929162,28.69462755,83.16447059,12.05761603,94.85655691,7,50,29.94644204,-106.1130792,medium
Panel_A,17.97,0.63,249,817.8085695,24.74317757,55.4441741,10.76933607,7.378155352,8,20,42.9357202,-115.0629173,high
Panel_B,12.01,0.78,298,324.1441693,27.18239143,85.27343409,12.9775376,25.93950249,17,20,32.04402927,-71.49864208,low
Panel_C,17.48,0.19,385,687.6642857,35.70690805,61.96022006,2.577065365,48.78309311,18,50,39.44081861,-86.02093231,low
Panel_C,15.25,0.56,398,378.8002245,36.08472096,79.76144643,13.39265143,40.16520078,17,40,26.41448812,-92.08812677,low
Panel_C,19.47,0.47,217,443.2365005,19.44092716,18.97884419,9.003742344,30.65193601,6,20,40.09996162,-107.1736413,medium
Panel_B,11.47,0.3,232,373.0081054,20.10373617,50.86313934,3.737740432,4.172891822,9,30,41.07007579,-115.2824801,low
Panel_B,12.13,0.16,344,741.8980703,10.87897256,20.22857626,12.565224,59.92490298,16,50,37.97773654,-69.04834998,medium
Panel_A,19.82,0.39,244,328.5748677,33.23870607,32.61513118,1.846409636,71.71346435,13,30,26.10057782,-86.71453402,low
Panel_B,17.34,0.49,320,507.1239864,25.79825698,50.28848395,11.08339084,30.94299812,15,40,48.30193597,-114.0976588,medium
Panel_A,15.94,0.84,242,449.3412428,30.59651274,11.56552601,14.88071468,47.85915803,21,20,27.03378426,-82.6495147,low
Panel_C,10.21,0.33,205,496.9369545,39.49143439,30.10327131,6.237363073,86.27208311,24,40,31.61210722,-120.2257723,low
Panel_A,14.78,0.93,218,381.162661,23.12449272,60.66693811,7.334131133,48.53429446,14,20,39.25939221,-95.49375072,low
Panel_C,18.46,0.63,378,786.5065182,16.99722162,13.79147603,12.55806319,26.10861514,19,50,47.02214705,-117.8399734,high
Panel_A,15.25,0.36,230,525.7644099,28.49747479,71.44205386,9.91071395,24.18244423,6,50,26.20197623,-105.3794677,medium
Panel_A,17.39,0.4,258,667.3070499,12.01333634,55.57901081,11.85568881,67.07398788,16,50,34.13663124,-80.28457422,medium
Panel_A,15,0.27,271,873.009026,34.18119133,16.8067079,8.6150736,86.17618529,5,40,37.01936122,-86.48226368,low
Panel_A,15.69,0.91,284,683.7955807,37.62953303,10.4341004,6.649090619,13.42901876,8,10,26.82107532,-78.21435909,low
Panel_A,15.14,0.83,307,742.0569549,14.46629602,57.00326246,10.10375728,87.00844248,17,40,26.88817888,-95.58319546,medium
Panel_A,14.21,0.93,319,684.319598,24.29652272,28.32753544,1.453305788,6.299065728,14,30,25.87385878,-122.3718072,medium
Panel_C,14.38,0.62,281,296.6050578,22.2221157,63.73565701,8.083375809,20.29309986,16,30,29.55277085,-124.9250652,low
Panel_C,10.45,0.91,387,508.2091796,23.61839528,15.56713254,9.228808562,57.18771295,22,20,32.52076348,-73.83787663,medium
Panel_B,10.3,0.73,333,327.4837494,11.20506125,67.80842654,4.20286169,61.75676918,9,40,25.93064757,-109.2523782,low
Panel_C,13.19,0.67,358,222.5864666,26.44441115,44.52367805,12.48808261,58.82993784,5,40,39.5121849,-68.60975965,low
Panel_B,13.61,0.28,339,787.5669183,20.29492064,65.92326946,5.351176731,50.10994291,0,50,25.9757587,-73.48524637,medium
Panel_C,19.4,0.51,217,776.1610752,28.5290052,35.90624482,9.843575438,2.382080166,14,10,38.61064008,-101.8836316,high
Panel_A,12.7,0.86,383,240.6128215,18.4843809,15.09747982,7.515413646,19.78392509,21,50,26.41750928,-95.3647956,low
Panel_C,13.45,0.99,293,553.4497124,16.47167732,42.78060152,4.198775221,43.1714257,0,40,29.85675353,-80.09047683,medium
Panel_B,14.13,0.46,334,641.3792669,35.78862411,29.37292576,8.765766406,52.04082708,12,10,28.32482949,-69.60794008,low
Panel_A,10.94,0.96,251,734.6626715,38.76716974,14.31753018,13.82495934,57.19799061,3,10,35.47257316,-102.6750277,low
Panel_A,13.47,0.98,295,202.5372833,11.10627906,61.06523541,5.36884737,59.20255457,16,10,46.25486643,-100.0522993,low
Panel_C,13.69,0.61,300,619.9479165,15.31022944,12.12219981,1.085577047,64.03973224,8,40,37.26220221,-94.63844166,medium
Panel_B,16.38,0.94,335,926.2415257,10.61648442,80.86297914,12.36159624,28.54215027,19,10,39.76687884,-95.13716577,high
Panel_A,19.06,0.19,298,355.9714291,19.17414346,32.7815621,2.799579075,73.5483558,21,20,45.63418332,-88.17671694,low
Panel_C,13.2,0.78,265,601.2117667,24.3384063,48.89862292,6.709686895,64.42042647,0,20,33.24085838,-73.81129926,medium
Panel_A,13.08,0.44,273,934.1069714,36.45682013,12.46206261,2.346813797,21.41800705,2,10,32.37682772,-81.88352387,low
Panel_C,12.5,0.59,315,551.671841,34.93244816,16.99021549,10.39330813,41.60153915,9,40,35.58950944,-78.49222189,low
Panel_A,12.97,0.62,352,365.2927069,19.39184184,85.62299119,10.47256785,23.44435434,8,50,45.04847621,-68.71714463,low
Panel_C,13.98,0.56,233,665.4773608,10.39809033,22.97237758,14.50962009,13.78674224,14,50,32.75324319,-77.62511967,medium
Panel_C,13.5,0.32,208,553.6011578,30.98612489,44.13340313,9.034587189,78.21696349,14,40,42.36731482,-74.72650932,low
Panel_B,12.62,0.23,219,741.5937994,36.85416638,66.1127506,1.635986114,14.49095366,24,40,45.67802781,-81.08949543,low
Panel_C,16.56,0.13,291,725.9242282,16.46504797,17.76820425,0.634379655,26.51446253,2,20,39.36626348,-104.2250015,high
Panel_B,16.27,0.72,268,867.3393928,28.19477783,41.50049378,2.231606866,91.96485872,24,20,46.67401992,-66.65451892,medium
Panel_C,13.08,0.22,275,891.5589492,28.41819996,81.54734469,10.49926184,15.99497758,7,40,49.90839773,-111.8545612,high
Panel_A,10.67,0.3,204,268.4372441,28.43367704,81.32868907,12.82117345,31.5808849,4,50,48.78838368,-107.0679577,low
Panel_A,19.16,0.99,342,872.702546,23.78241919,18.53265776,2.714321496,98.33346696,6,10,35.32058801,-116.5728473,medium
Panel_C,15.22,0.52,347,734.0289408,21.54793247,32.3469599,8.31262157,37.87647782,12,40,27.61785562,-73.04363323,medium
Panel_C,15.47,0.14,222,885.2395732,13.61902203,70.22880914,7.31455078,74.66733373,1,50,48.47454984,-66.44552844,medium
Panel_B,15.72,0.78,318,878.1442203,23.96579698,53.31975005,6.074245025,76.54102773,8,40,37.01914056,-87.49017141,medium
Panel_A,16.25,0.79,275,616.6559021,27.7296442,58.41664903,3.045870891,93.34570829,22,40,37.39337339,-105.7298493,medium
Panel_B,11.93,0.24,240,248.6252635,30.12760071,55.96020157,7.220931547,10.33408662,12,30,42.71442451,-109.5350447,low
Panel_B,16.85,0.41,257,836.1029117,34.07503425,15.2686193,1.122571975,26.85069379,21,40,41.07777596,-82.75940001,high
Panel_A,12.84,0.57,387,573.7993128,13.60146995,61.32942932,6.270281309,42.56542098,19,50,26.61336598,-89.80433763,medium
Panel_B,18.61,0.95,254,334.1922227,17.31641757,33.41321119,8.330755608,68.37347336,6,40,48.5926417,-82.30764793,low
Panel_B,14.15,0.38,272,839.8443147,28.63615828,43.49145298,8.058040754,24.06757974,12,40,46.26741714,-113.2597063,high
Panel_B,16.69,0.52,217,783.2302857,26.05812879,52.83237027,0.338995704,46.67821087,13,30,46.53672434,-119.4346496,medium
Panel_A,14.94,0.33,323,403.1839255,24.99618193,61.15913732,4.34682997,69.49355779,18,30,32.15554877,-89.70360933,medium
Panel_A,11.5,0.65,293,965.8979832,22.7180297,45.82192858,0.266342435,87.70139853,23,50,48.56626313,-89.31208538,medium
Panel_C,14.53,0.37,352,725.4484493,22.19870282,79.78665295,14.89960313,18.76039242,7,40,30.90207814,-91.75121506,high
Panel_C,11.51,0.52,226,410.3549766,11.60346774,35.66272803,9.19659601,17.24152403,0,10,38.76968809,-100.2122643,medium
Panel_C,19.72,0.63,333,721.3203666,30.03537609,11.4681488,4.769215969,81.28223064,7,40,47.04396075,-120.9442939,low
Panel_C,13.51,0.18,220,878.5576031,19.80556427,56.76711742,13.9932273,29.63040085,13,40,41.38216791,-119.5502425,high
Panel_A,11.69,0.86,395,347.8713641,26.83437322,89.2506036,1.73536338,98.57296252,3,10,47.68751384,-67.1018073,low
Panel_A,18.97,0.45,214,532.4584738,16.75429532,36.32910564,0.719312054,16.96140912,24,50,44.78726188,-93.5641872,medium
Panel_B,16.12,0.6,285,314.0011905,33.86342907,80.76115562,11.38396347,88.29842912,2,10,43.39763263,-65.2528596,low
Panel_A,14.47,0.61,292,975.6132701,33.39149404,11.65064132,12.6326642,72.48207337,21,40,47.3698036,-72.3854031,low
